mobile_number,churn_probability,CHURN_FLAG,CHURN_FLAG_label,risk_tier
7000360265,0.982,1,YES,Critical
7002105528,0.9819,1,YES,Critical
7001443661,0.9819,1,YES,Critical
7001308198,0.9819,1,YES,Critical
7000810743,0.9819,1,YES,Critical
7001040946,0.9819,1,YES,Critical
7000775066,0.9819,1,YES,Critical
7001070408,0.9819,1,YES,Critical
7000781785,0.9818,1,YES,Critical
7001369431,0.9818,1,YES,Critical
7002230627,0.9818,1,YES,Critical
7001423173,0.9818,1,YES,Critical
7002185759,0.9818,1,YES,Critical
7002158262,0.9818,1,YES,Critical
7001352610,0.9818,1,YES,Critical
7000185697,0.9818,1,YES,Critical
7002048179,0.9818,1,YES,Critical
7001149431,0.9818,1,YES,Critical
7000097783,0.9818,1,YES,Critical
7002292280,0.9817,1,YES,Critical
7002292940,0.9817,1,YES,Critical
7002227057,0.9817,1,YES,Critical
7002367689,0.9817,1,YES,Critical
7001420782,0.9817,1,YES,Critical
7000949530,0.9817,1,YES,Critical
7002024450,0.9817,1,YES,Critical
7000960187,0.9817,1,YES,Critical
7001780577,0.9817,1,YES,Critical
7001800602,0.9817,1,YES,Critical
7001905007,0.9817,1,YES,Critical
7001571688,0.9816,1,YES,Critical
7000479380,0.9816,1,YES,Critical
7001508494,0.9816,1,YES,Critical
7001486827,0.9816,1,YES,Critical
7000038518,0.9816,1,YES,Critical
7000013890,0.9816,1,YES,Critical
7002085189,0.9816,1,YES,Critical
7001567008,0.9815,1,YES,Critical
7001704015,0.9815,1,YES,Critical
7001775517,0.9815,1,YES,Critical
7000874910,0.9815,1,YES,Critical
7001315448,0.9815,1,YES,Critical
7000008246,0.9815,1,YES,Critical
7002409781,0.9815,1,YES,Critical
7001128633,0.9815,1,YES,Critical
7000988660,0.9815,1,YES,Critical
7000572932,0.9815,1,YES,Critical
7001190932,0.9815,1,YES,Critical
7001441657,0.9814,1,YES,Critical
7001625198,0.9814,1,YES,Critical
7000490746,0.9814,1,YES,Critical
7002375364,0.9814,1,YES,Critical
7001107977,0.9814,1,YES,Critical
7001112677,0.9814,1,YES,Critical
7001594877,0.9814,1,YES,Critical
7002009960,0.9814,1,YES,Critical
7001676760,0.9814,1,YES,Critical
7001545902,0.9814,1,YES,Critical
7000830299,0.9814,1,YES,Critical
7000087541,0.9814,1,YES,Critical
7001013779,0.9813,1,YES,Critical
7000075027,0.9813,1,YES,Critical
7000164433,0.9813,1,YES,Critical
7001984014,0.9813,1,YES,Critical
7002002588,0.9813,1,YES,Critical
7001993285,0.9813,1,YES,Critical
7002410351,0.9813,1,YES,Critical
7001248084,0.9813,1,YES,Critical
7000916574,0.9813,1,YES,Critical
7002396928,0.9813,1,YES,Critical
7002112937,0.9813,1,YES,Critical
7000019148,0.9812,1,YES,Critical
7000764365,0.9812,1,YES,Critical
7001305613,0.9812,1,YES,Critical
7000069850,0.9812,1,YES,Critical
7000698619,0.9812,1,YES,Critical
7001052100,0.9812,1,YES,Critical
7000883936,0.9812,1,YES,Critical
7000098235,0.9811,1,YES,Critical
7001444910,0.9811,1,YES,Critical
7001030807,0.9811,1,YES,Critical
7001062051,0.9811,1,YES,Critical
7000816313,0.9811,1,YES,Critical
7000165592,0.9811,1,YES,Critical
7002401197,0.9811,1,YES,Critical
7002109505,0.9811,1,YES,Critical
7001936956,0.9811,1,YES,Critical
7001491677,0.981,1,YES,Critical
7002191964,0.981,1,YES,Critical
7001275728,0.981,1,YES,Critical
7002288067,0.981,1,YES,Critical
7001408479,0.981,1,YES,Critical
7000916048,0.981,1,YES,Critical
7000244385,0.981,1,YES,Critical
7001585379,0.981,1,YES,Critical
7001830044,0.981,1,YES,Critical
7001695868,0.981,1,YES,Critical
7001004808,0.9809,1,YES,Critical
7001347105,0.9809,1,YES,Critical
7000714008,0.9809,1,YES,Critical
7000079873,0.9809,1,YES,Critical
7000449867,0.9809,1,YES,Critical
7001393619,0.9809,1,YES,Critical
7001986121,0.9809,1,YES,Critical
7000605532,0.9809,1,YES,Critical
7000518307,0.9809,1,YES,Critical
7001817431,0.9809,1,YES,Critical
7001537647,0.9809,1,YES,Critical
7001299700,0.9809,1,YES,Critical
7000784684,0.9809,1,YES,Critical
7001593085,0.9809,1,YES,Critical
7001620438,0.9809,1,YES,Critical
7001969677,0.9809,1,YES,Critical
7001545353,0.9809,1,YES,Critical
7000759763,0.9809,1,YES,Critical
7001194194,0.9809,1,YES,Critical
7000971044,0.9809,1,YES,Critical
7000808115,0.9809,1,YES,Critical
7001002330,0.9809,1,YES,Critical
7002263177,0.9808,1,YES,Critical
7000817730,0.9808,1,YES,Critical
7002330701,0.9808,1,YES,Critical
7000916510,0.9808,1,YES,Critical
7000853445,0.9808,1,YES,Critical
7001839032,0.9808,1,YES,Critical
7001588891,0.9808,1,YES,Critical
7001747393,0.9808,1,YES,Critical
7001111871,0.9808,1,YES,Critical
7000640299,0.9808,1,YES,Critical
7002008745,0.9808,1,YES,Critical
7001260101,0.9808,1,YES,Critical
7001432738,0.9808,1,YES,Critical
7001698763,0.9808,1,YES,Critical
7002005139,0.9808,1,YES,Critical
7001551986,0.9808,1,YES,Critical
7001256107,0.9808,1,YES,Critical
7000868286,0.9808,1,YES,Critical
7001120405,0.9808,1,YES,Critical
7001132284,0.9808,1,YES,Critical
7001535928,0.9808,1,YES,Critical
7000809327,0.9808,1,YES,Critical
7000041683,0.9808,1,YES,Critical
7001151275,0.9808,1,YES,Critical
7000302403,0.9807,1,YES,Critical
7001636255,0.9807,1,YES,Critical
7002060431,0.9807,1,YES,Critical
7001741412,0.9807,1,YES,Critical
7000882700,0.9807,1,YES,Critical
7000890239,0.9807,1,YES,Critical
7001572673,0.9807,1,YES,Critical
7000757973,0.9807,1,YES,Critical
7001462991,0.9807,1,YES,Critical
7000029140,0.9807,1,YES,Critical
7001228912,0.9807,1,YES,Critical
7000849843,0.9807,1,YES,Critical
7002256432,0.9807,1,YES,Critical
7000043873,0.9807,1,YES,Critical
7001918446,0.9807,1,YES,Critical
7000445861,0.9807,1,YES,Critical
7000838972,0.9807,1,YES,Critical
7001606979,0.9806,1,YES,Critical
7001742584,0.9806,1,YES,Critical
7000161285,0.9806,1,YES,Critical
7000077843,0.9806,1,YES,Critical
7000013117,0.9806,1,YES,Critical
7001356303,0.9806,1,YES,Critical
7000307402,0.9806,1,YES,Critical
7001840569,0.9806,1,YES,Critical
7000910255,0.9806,1,YES,Critical
7001628637,0.9806,1,YES,Critical
7001424642,0.9806,1,YES,Critical
7001240581,0.9806,1,YES,Critical
7001483460,0.9806,1,YES,Critical
7000250252,0.9806,1,YES,Critical
7001474976,0.9806,1,YES,Critical
7001098510,0.9806,1,YES,Critical
7001983020,0.9806,1,YES,Critical
7000955268,0.9806,1,YES,Critical
7000242500,0.9806,1,YES,Critical
7000546779,0.9806,1,YES,Critical
7001128963,0.9806,1,YES,Critical
7000901299,0.9806,1,YES,Critical
7002289648,0.9806,1,YES,Critical
7001310666,0.9806,1,YES,Critical
7001900053,0.9805,1,YES,Critical
7000983743,0.9805,1,YES,Critical
7001277530,0.9805,1,YES,Critical
7000303336,0.9805,1,YES,Critical
7001694769,0.9805,1,YES,Critical
7001337913,0.9805,1,YES,Critical
7001632605,0.9805,1,YES,Critical
7000192461,0.9805,1,YES,Critical
7000986639,0.9805,1,YES,Critical
7000046983,0.9805,1,YES,Critical
7001686456,0.9805,1,YES,Critical
7000088515,0.9805,1,YES,Critical
7001417092,0.9805,1,YES,Critical
7001547431,0.9805,1,YES,Critical
7001501790,0.9805,1,YES,Critical
7002087444,0.9805,1,YES,Critical
7000225823,0.9805,1,YES,Critical
7000012706,0.9805,1,YES,Critical
7001399626,0.9805,1,YES,Critical
7000025630,0.9805,1,YES,Critical
7002143394,0.9805,1,YES,Critical
7000742421,0.9805,1,YES,Critical
7001940202,0.9805,1,YES,Critical
7000734939,0.9805,1,YES,Critical
7001107811,0.9804,1,YES,Critical
7000925956,0.9804,1,YES,Critical
7001685965,0.9804,1,YES,Critical
7002200194,0.9804,1,YES,Critical
7001566064,0.9804,1,YES,Critical
7002001359,0.9804,1,YES,Critical
7000895375,0.9804,1,YES,Critical
7001185514,0.9804,1,YES,Critical
7001501484,0.9804,1,YES,Critical
7001439941,0.9804,1,YES,Critical
7002324263,0.9804,1,YES,Critical
7001839170,0.9804,1,YES,Critical
7000032701,0.9804,1,YES,Critical
7001338785,0.9804,1,YES,Critical
7001861446,0.9804,1,YES,Critical
7001196665,0.9804,1,YES,Critical
7001118910,0.9804,1,YES,Critical
7002074309,0.9804,1,YES,Critical
7001173364,0.9804,1,YES,Critical
7002258646,0.9804,1,YES,Critical
7000750085,0.9804,1,YES,Critical
7001211918,0.9804,1,YES,Critical
7000094422,0.9804,1,YES,Critical
7001360702,0.9804,1,YES,Critical
7001486639,0.9804,1,YES,Critical
7000006839,0.9804,1,YES,Critical
7001772770,0.9804,1,YES,Critical
7001164167,0.9804,1,YES,Critical
7000073682,0.9804,1,YES,Critical
7000936187,0.9804,1,YES,Critical
7000019759,0.9804,1,YES,Critical
7000390158,0.9804,1,YES,Critical
7001100656,0.9804,1,YES,Critical
7000398088,0.9804,1,YES,Critical
7002402830,0.9804,1,YES,Critical
7001898018,0.9804,1,YES,Critical
7001472943,0.9804,1,YES,Critical
7001222143,0.9804,1,YES,Critical
7001472172,0.9804,1,YES,Critical
7001388757,0.9804,1,YES,Critical
7001810565,0.9804,1,YES,Critical
7000057480,0.9804,1,YES,Critical
7000133940,0.9804,1,YES,Critical
7000821737,0.9804,1,YES,Critical
7002214206,0.9804,1,YES,Critical
7000913870,0.9804,1,YES,Critical
7000053927,0.9803,1,YES,Critical
7000868320,0.9803,1,YES,Critical
7000293663,0.9803,1,YES,Critical
7001729134,0.9803,1,YES,Critical
7000660716,0.9803,1,YES,Critical
7002397517,0.9803,1,YES,Critical
7000027356,0.9803,1,YES,Critical
7001810541,0.9803,1,YES,Critical
7001776075,0.9803,1,YES,Critical
7000055648,0.9803,1,YES,Critical
7001869573,0.9803,1,YES,Critical
7000083483,0.9803,1,YES,Critical
7000989201,0.9803,1,YES,Critical
7000075334,0.9803,1,YES,Critical
7000284695,0.9803,1,YES,Critical
7001548522,0.9803,1,YES,Critical
7001022794,0.9803,1,YES,Critical
7002196148,0.9803,1,YES,Critical
7001880911,0.9803,1,YES,Critical
7001765824,0.9803,1,YES,Critical
7000041764,0.9803,1,YES,Critical
7000935856,0.9803,1,YES,Critical
7002208606,0.9802,1,YES,Critical
7001126149,0.9802,1,YES,Critical
7000019395,0.9802,1,YES,Critical
7001777675,0.9802,1,YES,Critical
7000255624,0.9802,1,YES,Critical
7000837676,0.9802,1,YES,Critical
7000467612,0.9802,1,YES,Critical
7001747149,0.9802,1,YES,Critical
7000796652,0.9802,1,YES,Critical
7000854914,0.9802,1,YES,Critical
7000010661,0.9802,1,YES,Critical
7001380405,0.9802,1,YES,Critical
7000990245,0.9802,1,YES,Critical
7000017817,0.9802,1,YES,Critical
7000192632,0.9802,1,YES,Critical
7002208037,0.9802,1,YES,Critical
7000636551,0.9802,1,YES,Critical
7001963722,0.9802,1,YES,Critical
7000855031,0.9802,1,YES,Critical
7000571919,0.9802,1,YES,Critical
7000115640,0.9802,1,YES,Critical
7002282929,0.9802,1,YES,Critical
7000064286,0.9802,1,YES,Critical
7000487514,0.9802,1,YES,Critical
7002200811,0.9802,1,YES,Critical
7000038076,0.9802,1,YES,Critical
7002223826,0.9802,1,YES,Critical
7002097500,0.9802,1,YES,Critical
7002399306,0.9802,1,YES,Critical
7001784155,0.9802,1,YES,Critical
7001385743,0.9802,1,YES,Critical
7000102001,0.9802,1,YES,Critical
7000889920,0.9802,1,YES,Critical
7001431930,0.9802,1,YES,Critical
7002382126,0.9802,1,YES,Critical
7000713323,0.9802,1,YES,Critical
7000871852,0.9802,1,YES,Critical
7001051090,0.9802,1,YES,Critical
7001814524,0.9802,1,YES,Critical
7000856315,0.9802,1,YES,Critical
7001215385,0.9802,1,YES,Critical
7000928056,0.9802,1,YES,Critical
7000374870,0.9802,1,YES,Critical
7000849593,0.9801,1,YES,Critical
7001271660,0.9801,1,YES,Critical
7000394651,0.9801,1,YES,Critical
7000054118,0.9801,1,YES,Critical
7001906688,0.9801,1,YES,Critical
7000865789,0.9801,1,YES,Critical
7000145088,0.9801,1,YES,Critical
7000795877,0.9801,1,YES,Critical
7001788209,0.9801,1,YES,Critical
7001004675,0.9801,1,YES,Critical
7002266428,0.9801,1,YES,Critical
7001315215,0.9801,1,YES,Critical
7000644759,0.9801,1,YES,Critical
7001561824,0.9801,1,YES,Critical
7002262263,0.9801,1,YES,Critical
7000295238,0.9801,1,YES,Critical
7000225294,0.9801,1,YES,Critical
7000404339,0.9801,1,YES,Critical
7002172791,0.9801,1,YES,Critical
7000753324,0.9801,1,YES,Critical
7000608519,0.9801,1,YES,Critical
7001230991,0.9801,1,YES,Critical
7000910269,0.9801,1,YES,Critical
7000724954,0.9801,1,YES,Critical
7001162380,0.9801,1,YES,Critical
7000708321,0.9801,1,YES,Critical
7001683979,0.9801,1,YES,Critical
7002279298,0.9801,1,YES,Critical
7002052941,0.9801,1,YES,Critical
7001693696,0.9801,1,YES,Critical
7001975238,0.9801,1,YES,Critical
7001175264,0.9801,1,YES,Critical
7001416495,0.9801,1,YES,Critical
7000089857,0.9801,1,YES,Critical
7000006646,0.9801,1,YES,Critical
7000019009,0.9801,1,YES,Critical
7001231857,0.9801,1,YES,Critical
7001627477,0.9801,1,YES,Critical
7001689139,0.9801,1,YES,Critical
7000102635,0.9801,1,YES,Critical
7000178787,0.9801,1,YES,Critical
7001560314,0.98,1,YES,Critical
7001253336,0.98,1,YES,Critical
7001938226,0.98,1,YES,Critical
7000301281,0.98,1,YES,Critical
7000586982,0.98,1,YES,Critical
7000308638,0.98,1,YES,Critical
7000494274,0.98,1,YES,Critical
7002105123,0.98,1,YES,Critical
7000169540,0.98,1,YES,Critical
7000293582,0.98,1,YES,Critical
7001008506,0.98,1,YES,Critical
7000507634,0.98,1,YES,Critical
7001933507,0.98,1,YES,Critical
7000170496,0.98,1,YES,Critical
7000090943,0.98,1,YES,Critical
7001033560,0.98,1,YES,Critical
7001149240,0.98,1,YES,Critical
7000404030,0.98,1,YES,Critical
7002111466,0.98,1,YES,Critical
7002047063,0.98,1,YES,Critical
7000020342,0.98,1,YES,Critical
7000419229,0.98,1,YES,Critical
7000051457,0.98,1,YES,Critical
7000402684,0.98,1,YES,Critical
7000646264,0.98,1,YES,Critical
7001145377,0.98,1,YES,Critical
7001053683,0.98,1,YES,Critical
7001006140,0.98,1,YES,Critical
7000353177,0.98,1,YES,Critical
7002382730,0.98,1,YES,Critical
7001683237,0.98,1,YES,Critical
7001091701,0.98,1,YES,Critical
7002034894,0.9799,1,YES,Critical
7001812040,0.9799,1,YES,Critical
7001956350,0.9799,1,YES,Critical
7000568646,0.9799,1,YES,Critical
7001494622,0.9799,1,YES,Critical
7001799884,0.9799,1,YES,Critical
7001795678,0.9799,1,YES,Critical
7000887113,0.9799,1,YES,Critical
7001048014,0.9799,1,YES,Critical
7000830923,0.9799,1,YES,Critical
7001384138,0.9799,1,YES,Critical
7001696970,0.9799,1,YES,Critical
7000881903,0.9799,1,YES,Critical
7001243008,0.9799,1,YES,Critical
7001770115,0.9799,1,YES,Critical
7000854616,0.9799,1,YES,Critical
7000273002,0.9799,1,YES,Critical
7000084943,0.9799,1,YES,Critical
7001957634,0.9799,1,YES,Critical
7001985675,0.9799,1,YES,Critical
7000459464,0.9799,1,YES,Critical
7001758678,0.9799,1,YES,Critical
7000079993,0.9799,1,YES,Critical
7000067250,0.9799,1,YES,Critical
7001999149,0.9799,1,YES,Critical
7000659139,0.9799,1,YES,Critical
7002369547,0.9799,1,YES,Critical
7000011100,0.9799,1,YES,Critical
7001923058,0.9799,1,YES,Critical
7001306687,0.9799,1,YES,Critical
7001546542,0.9799,1,YES,Critical
7002002998,0.9799,1,YES,Critical
7000514702,0.9799,1,YES,Critical
7000730913,0.9799,1,YES,Critical
7000225585,0.9799,1,YES,Critical
7000323304,0.9799,1,YES,Critical
7002285933,0.9799,1,YES,Critical
7000100023,0.9799,1,YES,Critical
7000913906,0.9799,1,YES,Critical
7001645921,0.9799,1,YES,Critical
7000690623,0.9799,1,YES,Critical
7001609562,0.9799,1,YES,Critical
7000007575,0.9798,1,YES,Critical
7001348151,0.9798,1,YES,Critical
7000862838,0.9798,1,YES,Critical
7000606902,0.9798,1,YES,Critical
7000584712,0.9798,1,YES,Critical
7001562226,0.9798,1,YES,Critical
7001294444,0.9798,1,YES,Critical
7000040047,0.9798,1,YES,Critical
7001768649,0.9798,1,YES,Critical
7001421439,0.9798,1,YES,Critical
7000048080,0.9798,1,YES,Critical
7002014180,0.9798,1,YES,Critical
7000686452,0.9798,1,YES,Critical
7000716136,0.9798,1,YES,Critical
7001197902,0.9798,1,YES,Critical
7000371240,0.9798,1,YES,Critical
7001018262,0.9798,1,YES,Critical
7001493893,0.9798,1,YES,Critical
7000234564,0.9798,1,YES,Critical
7001648992,0.9798,1,YES,Critical
7001467567,0.9798,1,YES,Critical
7000024105,0.9798,1,YES,Critical
7001510018,0.9798,1,YES,Critical
7000976543,0.9798,1,YES,Critical
7000491477,0.9798,1,YES,Critical
7002365529,0.9798,1,YES,Critical
7002078192,0.9798,1,YES,Critical
7000079638,0.9798,1,YES,Critical
7001694314,0.9798,1,YES,Critical
7001260822,0.9798,1,YES,Critical
7000593630,0.9798,1,YES,Critical
7002276344,0.9798,1,YES,Critical
7002010533,0.9798,1,YES,Critical
7000062574,0.9798,1,YES,Critical
7002355488,0.9798,1,YES,Critical
7000515320,0.9798,1,YES,Critical
7000493079,0.9798,1,YES,Critical
7000947961,0.9798,1,YES,Critical
7001325899,0.9798,1,YES,Critical
7000064524,0.9798,1,YES,Critical
7000525957,0.9797,1,YES,Critical
7000323529,0.9797,1,YES,Critical
7002245423,0.9797,1,YES,Critical
7001965258,0.9797,1,YES,Critical
7000135046,0.9797,1,YES,Critical
7002216719,0.9797,1,YES,Critical
7000580440,0.9797,1,YES,Critical
7001259335,0.9797,1,YES,Critical
7001688917,0.9797,1,YES,Critical
7000032632,0.9797,1,YES,Critical
7000506545,0.9797,1,YES,Critical
7002259260,0.9797,1,YES,Critical
7000367416,0.9797,1,YES,Critical
7000357624,0.9797,1,YES,Critical
7001828336,0.9797,1,YES,Critical
7000078522,0.9797,1,YES,Critical
7000693070,0.9797,1,YES,Critical
7000238713,0.9797,1,YES,Critical
7000044077,0.9797,1,YES,Critical
7000369930,0.9797,1,YES,Critical
7000122745,0.9797,1,YES,Critical
7000519829,0.9797,1,YES,Critical
7000032590,0.9797,1,YES,Critical
7000625837,0.9797,1,YES,Critical
7001478008,0.9797,1,YES,Critical
7000379712,0.9797,1,YES,Critical
7002008689,0.9797,1,YES,Critical
7001525983,0.9797,1,YES,Critical
7000309771,0.9797,1,YES,Critical
7000464930,0.9797,1,YES,Critical
7000150536,0.9797,1,YES,Critical
7002166375,0.9797,1,YES,Critical
7000934610,0.9797,1,YES,Critical
7000327554,0.9797,1,YES,Critical
7001236793,0.9797,1,YES,Critical
7002264849,0.9797,1,YES,Critical
7000247047,0.9797,1,YES,Critical
7001016454,0.9797,1,YES,Critical
7001618821,0.9797,1,YES,Critical
7001543768,0.9797,1,YES,Critical
7000548241,0.9797,1,YES,Critical
7002019875,0.9797,1,YES,Critical
7002310060,0.9797,1,YES,Critical
7000123176,0.9797,1,YES,Critical
7000697021,0.9797,1,YES,Critical
7000123521,0.9797,1,YES,Critical
7001829519,0.9797,1,YES,Critical
7000088822,0.9797,1,YES,Critical
7000000204,0.9797,1,YES,Critical
7001351230,0.9796,1,YES,Critical
7000489320,0.9796,1,YES,Critical
7000730776,0.9796,1,YES,Critical
7000415768,0.9796,1,YES,Critical
7000319424,0.9796,1,YES,Critical
7002056256,0.9796,1,YES,Critical
7000264579,0.9796,1,YES,Critical
7000654379,0.9796,1,YES,Critical
7000546243,0.9796,1,YES,Critical
7001831187,0.9796,1,YES,Critical
7001334950,0.9796,1,YES,Critical
7000990559,0.9796,1,YES,Critical
7000877662,0.9796,1,YES,Critical
7001932351,0.9796,1,YES,Critical
7000451851,0.9796,1,YES,Critical
7000711843,0.9796,1,YES,Critical
7000430526,0.9796,1,YES,Critical
7000050123,0.9796,1,YES,Critical
7002265107,0.9796,1,YES,Critical
7000008750,0.9796,1,YES,Critical
7000260990,0.9796,1,YES,Critical
7001509068,0.9796,1,YES,Critical
7001986618,0.9796,1,YES,Critical
7002380920,0.9796,1,YES,Critical
7000171326,0.9796,1,YES,Critical
7002209989,0.9796,1,YES,Critical
7000503402,0.9796,1,YES,Critical
7000806248,0.9796,1,YES,Critical
7001875761,0.9796,1,YES,Critical
7000049215,0.9796,1,YES,Critical
7000956761,0.9796,1,YES,Critical
7001746351,0.9796,1,YES,Critical
7000921475,0.9796,1,YES,Critical
7001338323,0.9796,1,YES,Critical
7000828599,0.9796,1,YES,Critical
7002188222,0.9796,1,YES,Critical
7001083920,0.9796,1,YES,Critical
7000218949,0.9796,1,YES,Critical
7001631652,0.9796,1,YES,Critical
7000017689,0.9796,1,YES,Critical
7000597803,0.9796,1,YES,Critical
7002381139,0.9796,1,YES,Critical
7000060343,0.9796,1,YES,Critical
7001024903,0.9796,1,YES,Critical
7000036521,0.9796,1,YES,Critical
7002354324,0.9796,1,YES,Critical
7000483768,0.9796,1,YES,Critical
7000908828,0.9796,1,YES,Critical
7001113516,0.9796,1,YES,Critical
7001461149,0.9796,1,YES,Critical
7002369086,0.9795,1,YES,Critical
7000879920,0.9795,1,YES,Critical
7000362650,0.9795,1,YES,Critical
7000499358,0.9795,1,YES,Critical
7001154493,0.9795,1,YES,Critical
7001147668,0.9795,1,YES,Critical
7000050770,0.9795,1,YES,Critical
7001423668,0.9795,1,YES,Critical
7000016405,0.9795,1,YES,Critical
7000045394,0.9795,1,YES,Critical
7000131732,0.9795,1,YES,Critical
7002195742,0.9795,1,YES,Critical
7001844776,0.9795,1,YES,Critical
7000911182,0.9795,1,YES,Critical
7000382600,0.9795,1,YES,Critical
7000075335,0.9795,1,YES,Critical
7000754387,0.9795,1,YES,Critical
7000035166,0.9795,1,YES,Critical
7002085452,0.9795,1,YES,Critical
7000037571,0.9795,1,YES,Critical
7001396984,0.9795,1,YES,Critical
7001989437,0.9795,1,YES,Critical
7001771286,0.9795,1,YES,Critical
7002004001,0.9795,1,YES,Critical
7001466876,0.9795,1,YES,Critical
7000747118,0.9795,1,YES,Critical
7001308092,0.9795,1,YES,Critical
7001393914,0.9795,1,YES,Critical
7002132155,0.9795,1,YES,Critical
7000481952,0.9795,1,YES,Critical
7000894446,0.9795,1,YES,Critical
7000020967,0.9795,1,YES,Critical
7002335455,0.9795,1,YES,Critical
7000357834,0.9795,1,YES,Critical
7000679246,0.9795,1,YES,Critical
7000085177,0.9795,1,YES,Critical
7000369789,0.9795,1,YES,Critical
7000677826,0.9794,1,YES,Critical
7001040129,0.9794,1,YES,Critical
7000789976,0.9794,1,YES,Critical
7001030179,0.9794,1,YES,Critical
7000669087,0.9794,1,YES,Critical
7000227610,0.9794,1,YES,Critical
7000035990,0.9794,1,YES,Critical
7000053066,0.9794,1,YES,Critical
7000967635,0.9794,1,YES,Critical
7000780958,0.9794,1,YES,Critical
7001250102,0.9794,1,YES,Critical
7000606481,0.9794,1,YES,Critical
7000635087,0.9794,1,YES,Critical
7001975930,0.9794,1,YES,Critical
7001356603,0.9794,1,YES,Critical
7001701848,0.9794,1,YES,Critical
7000702014,0.9794,1,YES,Critical
7001321951,0.9794,1,YES,Critical
7001589687,0.9794,1,YES,Critical
7000630392,0.9794,1,YES,Critical
7001451343,0.9794,1,YES,Critical
7001936920,0.9794,1,YES,Critical
7001930781,0.9794,1,YES,Critical
7000489756,0.9794,1,YES,Critical
7000474524,0.9794,1,YES,Critical
7000051640,0.9794,1,YES,Critical
7002371069,0.9794,1,YES,Critical
7001560287,0.9794,1,YES,Critical
7001013620,0.9794,1,YES,Critical
7002109940,0.9794,1,YES,Critical
7000702488,0.9794,1,YES,Critical
7001096016,0.9794,1,YES,Critical
7000132626,0.9794,1,YES,Critical
7002064378,0.9794,1,YES,Critical
7000367247,0.9794,1,YES,Critical
7001260316,0.9794,1,YES,Critical
7002231686,0.9794,1,YES,Critical
7001333482,0.9794,1,YES,Critical
7000294783,0.9794,1,YES,Critical
7000643295,0.9794,1,YES,Critical
7002098435,0.9794,1,YES,Critical
7000087517,0.9794,1,YES,Critical
7002318796,0.9794,1,YES,Critical
7001073910,0.9794,1,YES,Critical
7002256306,0.9794,1,YES,Critical
7000015524,0.9794,1,YES,Critical
7000729692,0.9794,1,YES,Critical
7001277706,0.9794,1,YES,Critical
7000914251,0.9794,1,YES,Critical
7000624737,0.9794,1,YES,Critical
7000749583,0.9794,1,YES,Critical
7000975412,0.9793,1,YES,Critical
7000433548,0.9793,1,YES,Critical
7000121831,0.9793,1,YES,Critical
7002102824,0.9793,1,YES,Critical
7002025785,0.9793,1,YES,Critical
7000306639,0.9793,1,YES,Critical
7001953812,0.9793,1,YES,Critical
7000450537,0.9793,1,YES,Critical
7001274313,0.9793,1,YES,Critical
7000588593,0.9793,1,YES,Critical
7001243377,0.9793,1,YES,Critical
7000038589,0.9793,1,YES,Critical
7001960585,0.9793,1,YES,Critical
7001071159,0.9793,1,YES,Critical
7000486124,0.9793,1,YES,Critical
7000000149,0.9793,1,YES,Critical
7001168618,0.9793,1,YES,Critical
7000474648,0.9793,1,YES,Critical
